Region,State,Substation_Name,Type_AIS_GIS,Voltage_Level,Transformation_Capacity_MVA,Renewable_Companies_Connected,Project_Type,Total_Capacity_MW,Remarks
ER,Chhattisgarh,Bilaspur PS,AIS,400/220 kV,2x315 MVA,Various developers (150 MW),Solar,200,Active - RE integration node
NR,Punjab,Amritsar PS,AIS,400/220 kV,2x315 MVA,Various developers (100 MW),Solar,150,Active - RE integration
NR,Himachal Pradesh,Nalagarh PS,AIS,400/220 kV,2x315 MVA,Various (100 MW),Solar/Hydro,150,Active - RE integration at CTU node
NR,Jammu and Kashmir,Kishenpur PS,AIS,400/220 kV,2x315 MVA,Various developers (100 MW),Solar,150,Active - RE integration at CTU node
ER,Bihar,Muzaffarpur PS,AIS,400/220 kV,2x315 MVA,Various developers (100 MW),Solar,150,Active - RE integration at CTU node
NR,Uttar Pradesh,Bareilly PS,AIS,400/220 kV,2x315 MVA,Various developers (100 MW),Solar,150,Active - RE integration node
SR,Kerala,Thiruvananthapuram PS,AIS,400/220 kV,2x315 MVA,Various developers (50 MW),Solar,100,Active - RE integration at CTU node
ER,Sikkim,Rangpo PS,AIS,220 kV,2x100 MVA,NHPC (50 MW),Hydro-Solar,100,Active - Hydro-RE integration node
NER,Assam,Guwahati PS,AIS,400/220 kV,2x315 MVA,Various developers (50 MW),Solar,100,Active - RE integration node
NER,Meghalaya,Byrnihat PS,AIS,400/220 kV,1x315 MVA,Various developers (50 MW),Solar,80,Active - RE integration at CTU node
NER,Tripura,Agartala PS,AIS,400/220 kV,1x315 MVA,Various developers (50 MW),Solar,80,Active - RE integration node
NER,Arunachal Pradesh,Itanagar PS,AIS,220 kV,1x100 MVA,NHPC (50 MW),Solar/Hydro,80,Active - Hydro-Solar integration potential
WR,Goa,Mapusa PS,AIS,400/220 kV,1x315 MVA,Various developers (50 MW),Solar,50,Active - Small RE integration at CTU node
NER,Manipur,Imphal PS,AIS,400/220 kV,1x315 MVA,Various developers (30 MW),Solar,50,Active - RE integration node
NER,Nagaland,Dimapur PS,AIS,220 kV,1x100 MVA,Various developers (30 MW),Solar,50,Active - RE integration node
NER,Mizoram,Aizawl PS,AIS,132 kV,1x50 MVA,Various developers (20 MW),Solar,30,Active - Small RE integration
